player,maps,map_wins,map_win_rate,matches,match_wins,match_win_rate
EFFECT,103,28,0.27184466,28,6,0.214285714
Tsuna,24,4,0.166666667,14,3,0.214285714
Chipshajen,74,20,0.27027027,19,4,0.210526316
Manneten,161,44,0.273291925,39,8,0.205128205
JIQIREN,6,2,0.333333333,5,1,0.2
MYKaylee,11,0,0,5,1,0.2
TviQ,181,48,0.26519337,46,9,0.195652174
Zebbosai,170,44,0.258823529,41,8,0.195121951
Zuppeh,170,44,0.258823529,41,8,0.195121951
Myunb0ng,215,62,0.288372093,57,11,0.192982456
ShRedLock,90,26,0.288888889,26,5,0.192307692
CWoosH,104,27,0.259615385,26,5,0.192307692
Aid,81,23,0.283950617,21,4,0.19047619
Fusions,211,58,0.274881517,53,10,0.188679245
SNT,66,17,0.257575758,16,3,0.1875
SWoN,63,17,0.26984127,17,3,0.176470588
ColdesT,48,16,0.333333333,12,2,0.166666667
xQc,19,5,0.263157895,6,1,0.166666667
Dalton,121,31,0.256198347,36,6,0.166666667
Apply,21,4,0.19047619,6,1,0.166666667
Roolf,129,32,0.248062016,38,6,0.157894737
Diya,196,43,0.219387755,54,8,0.148148148
sharyk,25,8,0.32,7,1,0.142857143
Fahzix,27,8,0.296296296,7,1,0.142857143
Lethal,14,4,0.285714286,7,1,0.142857143
HO1,25,7,0.28,7,1,0.142857143
Viper,25,6,0.24,7,1,0.142857143
ITSAL,8,0,0,7,1,0.142857143
FALSE,43,11,0.255813953,15,2,0.133333333
Skairipa,69,17,0.246376812,23,3,0.130434783
Ripa,61,12,0.196721311,17,2,0.117647059
Fire,61,13,0.213114754,18,2,0.111111111
ATing,22,3,0.136363636,10,1,0.1
Mangachu,39,9,0.230769231,11,1,0.090909091
Trill,25,4,0.16,11,1,0.090909091
Unique,42,8,0.19047619,12,1,0.083333333
ChangSik,39,6,0.153846154,12,1,0.083333333
Halo,91,18,0.197802198,25,2,0.08
Develop,43,8,0.186046512,13,1,0.076923077
Gods,57,12,0.210526316,14,1,0.071428571
blase,90,21,0.233333333,30,2,0.066666667
Ado,170,31,0.182352941,45,3,0.066666667
Molf1g,60,12,0.2,16,1,0.0625
wub,51,9,0.176470588,16,1,0.0625
Dove,84,12,0.142857143,26,1,0.038461538
Doge,7,2,0.285714286,2,0,0
Hyeonu,4,1,0.25,3,0,0
Sky,16,4,0.25,8,0,0
Kaneki,14,3,0.214285714,4,0,0
Hybrid,22,4,0.181818182,8,0,0
Lyar,26,4,0.153846154,8,0,0
Altering,114,17,0.149122807,32,0,0
Apr1ta,7,1,0.142857143,2,0,0
Cjay,28,4,0.142857143,8,0,0
Krawi,63,9,0.142857143,18,0,0
N2S,28,4,0.142857143,8,0,0
alemao,14,2,0.142857143,4,0,0
brussen,21,3,0.142857143,6,0,0
odium,7,1,0.142857143,2,0,0
Persia,45,6,0.133333333,11,0,0
Freefeel,125,15,0.12,37,0,0
Roshan,69,8,0.115942029,19,0,0
Undead,73,8,0.109589041,18,0,0
MaltheL,55,6,0.109090909,17,0,0
Xushu,47,5,0.106382979,15,0,0
Daemin,19,2,0.105263158,8,0,0
Lukemino,60,6,0.1,18,0,0
Rakattack,60,6,0.1,18,0,0
Fiveking,71,6,0.084507042,24,0,0
Fuze,14,1,0.071428571,9,0,0
MG,65,4,0.061538462,18,0,0
Vulcan,25,1,0.04,8,0,0
Highbee,51,2,0.039215686,16,0,0
MoLanran,51,2,0.039215686,16,0,0
ShowCheng,51,2,0.039215686,16,0,0
Silver3,51,2,0.039215686,16,0,0
wya,51,2,0.039215686,16,0,0
Avalla,3,0,0,1,0,0
Takoyaki,2,0,0,1,0,0
